Time*,C-2DPS-2 Instron Force (kN),C-2DPS-2 Extensometer (mm/mm)
84.5,2.772568886,0.000150896
85,2.813989348,0.000151119
85.5,2.856171558,0.000155903
86,2.898672056,0.000174633
86.5,2.939720585,0.000184692
87,2.981527286,0.000185183
87.5,3.023308952,0.000187776
88,3.063928328,0.000198907
88.5,3.106285775,0.000214241
89,3.147548881,0.000218175
89.5,3.189158886,0.00021965
90,3.230708094,0.000226579
90.5,3.271037791,0.000240303
91,3.312197185,0.000252149
91.5,3.353685597,0.000253669
92,3.393954497,0.000255994
92.5,3.435560926,0.000265828
93,3.475286232,0.000281966
93.5,3.516306151,0.000287465
94,3.556789628,0.000287733
94.5,3.596879715,0.000290773
95,3.637491938,0.000305078
95.5,3.676999091,0.000320054
96,3.716949702,0.000321663
96.5,3.757576231,0.0003222
97,3.797137028,0.000326044
97.5,3.837548979,0.000348888
98,3.876823674,0.000355459
98.5,3.915951742,0.00035537
99,3.955741421,0.000356934
99.5,3.995295065,0.000367171
100,4.034719964,0.00038541
100.5,4.072986148,0.000390685
101,4.111087824,0.000389523
101.5,4.150004891,0.00039453
102,4.188864737,0.000407091
102.5,4.226877006,0.000422738
103,4.26486424,0.000424347
103.5,4.302472389,0.000424079
104,4.341099777,0.000428773
104.5,4.379373114,0.00044424
105,4.416991992,0.000457785
105.5,4.45387058,0.000457651
106,4.490631151,0.000457785
106.5,4.528403808,0.000467575
107,4.566247992,0.000481433
107.5,4.603133732,0.000491849
108,4.63964754,0.000492877
108.5,4.675027667,0.00049319
109,4.711412729,0.000501282
109.5,4.748209062,0.000518984
110,4.783946817,0.000526182
110.5,4.819680996,0.000525869
111,4.854041884,0.000527344
111.5,4.88958652,0.000537626
112,4.925649716,0.000555552
112.5,4.96016796,0.000560156
113,4.994325,0.00056114
113.5,5.02764519,0.000561318
114,5.062420926,0.000575668
114.5,5.096653068,0.000590778
115,5.130348768,0.000595159
115.5,5.163000194,0.00059431
116,5.195347637,0.000596098
116.5,5.228489013,0.000610358
117,5.260990236,0.00062663
117.5,5.29399929,0.000629357
118,5.325424053,0.000629089
118.5,5.355790237,0.000631503
119,5.387254339,0.000646121
119.5,5.418686254,0.000660828
120,5.449034557,0.000664718
120.5,5.478846418,0.000663421
121,5.508282769,0.00066816
121.5,5.537790646,0.000685594
122,5.567448727,0.000696681
122.5,5.59628784,0.000696859
123,5.623868103,0.000697485
123.5,5.651058552,0.000708125
124,5.678767561,0.000725738
124.5,5.706551671,0.000731415
125,5.733820798,0.000731862
125.5,5.759502057,0.000733919
126,5.7849294,0.000755555
126.5,5.810177929,0.000764764
127,5.836352714,0.000766105
127.5,5.861025462,0.000768206
128,5.884793412,0.000785417
128.5,5.908067835,0.000798336
129,5.931141986,0.000800884
129.5,5.954441443,0.000802851
130,5.977236645,0.000822655
130.5,5.998637098,0.000833026
131,6.019057651,0.000833384
131.5,6.039199253,0.000839911
132,6.059837959,0.000862128
132.5,6.080333613,0.000867806
133,6.099137688,0.000869281
133.5,6.117119218,0.000890604
134,6.134517815,0.000902227
134.5,6.152463582,0.000902898
135,6.170144705,0.000919215
135.5,6.186638503,0.000934637
136,6.202334792,0.000936738
136.5,6.217094095,0.000954799
137,6.232815417,0.000971339
137.5,6.247710618,0.000972144
138,6.261525784,0.000996507
138.5,6.274650727,0.001003972
139,6.287818586,0.001012243
139.5,6.300618088,0.001037455
140,6.313124336,0.001039825
140.5,6.325458922,0.00106012
141,6.336502471,0.001071341
141.5,6.346247831,0.001087657
142,6.357312838,0.001107014
142.5,6.367991606,0.001114926
143,6.3783199,0.001139156
143.5,6.387028139,0.001146621
144,6.39507119,0.001171789
144.5,6.403968972,0.001176707
145,6.412344617,0.001206971
145.5,6.420534296,0.001213542
146,6.427404328,0.001241795
146.5,6.434245749,0.001247964
147,6.441655799,0.001277424
147.5,6.448414966,0.001288644
148,6.455113337,0.001311622
148.5,6.460545704,0.001331381
149,6.465395139,0.001346982
149.5,6.470709489,0.00137443
150,6.473473953,0.001386321
150.5,6.448182508,0.0014076
151,6.42366354,0.001413859
151.5,6.405982417,0.001414619
152,6.392353218,0.001414797
152.5,6.38111655,0.001413903
153,6.371918361,0.001414082
153.5,6.363893191,0.001415468
154,6.356708447,0.001418061
154.5,6.350685993,0.001420922
155,6.345067659,0.001422799
155.5,6.339957156,0.001426197
156,6.334875264,0.001429237
156.5,6.330215372,0.001432455
157,6.32639233,0.00143469
157.5,6.322293915,0.0014401
158,6.318542398,0.001439071
158.5,6.315348781,0.001443318
159,6.31207291,0.001442782
159.5,6.308693326,0.001445375
160,6.305850184,0.001444838
160.5,6.302978432,0.00144609
161,6.300249732,0.001446313
161.5,6.297678387,0.001447744
162,6.295103466,0.001446626
162.5,6.292771732,0.001447297
163,6.290307676,0.001448191
163.5,6.288129722,0.001447342
164,6.286309396,0.001448593
164.5,6.284081375,0.001448414
165,6.281899845,0.001447967
165.5,6.279957925,0.001448191
166,6.278480922,0.00144828
166.5,6.276117002,0.001448504
167,6.274521981,0.001448414
167.5,6.273044978,0.001448817
168,6.270920668,0.001448817
168.5,6.269575987,0.001448504
169,6.267795001,0.00144904
169.5,6.26619998,0.001448191
170,6.264955435,0.001449353
170.5,6.263149414,0.001448727
171,6.262133751,0.001448638
171.5,6.260138187,0.001448817
172,6.259283457,0.001448102
172.5,6.257241402,0.001448012
173,6.256565485,0.001448414
173.5,6.254555616,0.001447654
174,6.253772411,0.00144904
174.5,6.251927051,0.001449174
175,6.251154575,0.001448414
175.5,6.249852809,0.001447967
176,6.248604688,0.001448236
176.5,6.247803601,0.001448236
177,6.246086988,0.001449532
177.5,6.24572936,0.001448146
178,6.243873271,0.001447967
178.5,6.243136558,0.001448638
179,6.242367658,0.001448325
179.5,6.240568789,0.001448906
180,6.240279111,0.001448012
180.5,6.238594683,0.001449264
181,6.237714919,0.001448906
181.5,6.237142714,0.001448504
182,6.235547694,0.001448012
182.5,6.234921845,0.00144828
183,6.233995589,0.001448504
183.5,6.232389839,0.00144837
184,6.232296856,0.001448146
184.5,6.231263312,0.001448459
185,6.229789885,0.001448906
185.5,6.229396494,0.001448057
186,6.228824289,0.001449264
186.5,6.227025421,0.001448683
187,6.226753624,0.00144837
187.5,6.226217182,0.00144837
188,6.22472945,0.001448191
188.5,6.22408572,0.001449174
189,6.223760278,0.001448593
189.5,6.222705276,0.001448638
190,6.221435697,0.001448549
190.5,6.221235426,0.001448772
191,6.220402153,0.001448414
191.5,6.219179065,0.001449085
192,6.218567521,0.001448727
192.5,6.218388708,0.00144837
193,6.21726218,0.001448325
193.5,6.216042669,0.00144904
194,6.215913923,0.001448996
194.5,6.215513379,0.001448146
195,6.214490564,0.001448146
195.5,6.213313968,0.00144752
196,6.213131578,0.001448906
196.5,6.212849052,0.001448414
197,6.211590201,0.001448593
197.5,6.21062103,0.00144904
198,6.21034208,0.001448683
198.5,6.210263402,0.001448459
199,6.209694774,0.00144904
199.5,6.208310754,0.001448012
200,6.207695634,0.001449219
200.5,6.207616955,0.001448191
201,6.207456023,0.001448191
201.5,6.206268698,0.001449532
202,6.205371052,0.001449174
202.5,6.20490256,0.001448146
203,6.204877526,0.001448549
203.5,6.204022795,0.001448549
204,6.202821165,0.001447699
204.5,6.202206046,0.001448951
205,6.202127367,0.001447923
205.5,6.201905638,0.001447967
206,6.200754076,0.001447878
206.5,6.199623972,0.001447923
207,6.199455887,0.001448057
207.5,6.199377209,0.001447744
208,6.198844343,0.001448861
208.5,6.197581917,0.001447654
209,6.196884543,0.001448012
209.5,6.196698576,0.001448012
210,6.196673542,0.001448504
210.5,6.196029812,0.001448414
211,6.194867521,0.001448191
211.5,6.194148689,0.001448772
212,6.193962723,0.001447967
212.5,6.1938304,0.001448683
213,6.193651586,0.001447878
213.5,6.192585855,0.001448817
214,6.191763311,0.001449085
214.5,6.191169649,0.001448817
215,6.191191107,0.001448146
215.5,6.191023021,0.001448683
216,6.190586715,0.001448638
216.5,6.189277797,0.001448772
217,6.188691288,0.001447967
217.5,6.188491016,0.001447878
218,6.188533931,0.00144752
218.5,6.188194185,0.001448683
219,6.187199979,0.00144837
219.5,6.186309486,0.001448236
220,6.185794502,0.001449085
220.5,6.185765891,0.001448549
221,6.185683637,0.001448102
221.5,6.185347467,0.001448638
222,6.184499889,0.00144828
222.5,6.183573632,0.001449085
223,6.183044343,0.001448102
223.5,6.183097987,0.001448414
224,6.182962089,0.001448325
224.5,6.182611613,0.001447923
225,6.181921392,0.001448012
225.5,6.180780559,0.001448683
226,6.180444388,0.001448638
226.5,6.180283456,0.001447878
227,6.180322795,0.001448191
227.5,6.180186896,0.001447923
228,6.179578929,0.001448549
