Time*,C-2DPS-2 Instron Force (kN),C-2DPS-2 Extensometer (mm/mm)
1200,8.638778504,0.033278548
1200.5,8.639579591,0.033308142
1201,8.640670356,0.033319407
1201.5,8.641575154,0.033342564
1202,8.64047366,0.033359819
1202.5,8.642000731,0.033376762
1203,8.642547902,0.033396342
1203.5,8.643706616,0.033411049
1204,8.644815263,0.033436843
1204.5,8.644454059,0.033446544
1205,8.645265874,0.033473724
1205.5,8.645487603,0.033482128
1206,8.647311506,0.033511632
1206.5,8.648041066,0.033521735
1207,8.64767271,0.03354744
1207.5,8.647926625,0.033562952
1208,8.648509559,0.033581102
1208.5,8.650272664,0.033600101
1209,8.650766191,0.033615389
1209.5,8.65070897,0.033638546
1210,8.650734004,0.033650928
1210.5,8.651588735,0.033677482
1211,8.653516349,0.033687004
1211.5,8.653723774,0.033715167
1212,8.653720197,0.033724779
1212.5,8.653748808,0.033752182
1213,8.655222234,0.033762821
1213.5,8.656202135,0.033786156
1214,8.656541881,0.033804261
1214.5,8.656327305,0.033819863
1215,8.656448898,0.033842528
1215.5,8.658530292,0.033855492
1216,8.659095344,0.03388209
1216.5,8.659596024,0.033889913
1217,8.659685431,0.033920401
1217.5,8.659524498,0.033927643
1218,8.661237536,0.033955627
1218.5,8.661806164,0.033965417
1219,8.663479862,0.033991211
1219.5,8.663304625,0.034006679
1220,8.662832556,0.034025678
1220.5,8.664391814,0.034046778
1221,8.66467434,0.034059697
1221.5,8.666119156,0.03408567
1222,8.666684208,0.03409537
1222.5,8.666301546,0.034124249
1223,8.66716343,0.034131536
1223.5,8.668214856,0.034160682
1224,8.669069586,0.03416931
1224.5,8.66983491,0.03419488
1225,8.669137536,0.034208515
1225.5,8.66989213,0.034230599
1226,8.671501456,0.034249463
1226.5,8.672406255,0.034264886
1227,8.67281395,0.03428773
1227.5,8.672231017,0.034299352
1228,8.672796069,0.0343268
1228.5,8.673893987,0.034334221
1229,8.675009786,0.034362697
1229.5,8.675338803,0.034373113
1230,8.675438939,0.034401321
1230.5,8.675739346,0.034411871
1231,8.677405892,0.034435251
1231.5,8.67804247,0.034454965
1232,8.678199826,0.034469226
1232.5,8.678078233,0.034493231
1233,8.678704082,0.034503826
1233.5,8.680520831,0.034529441
1234,8.680828391,0.034540036
1234.5,8.681439935,0.034569138
1235,8.681486427,0.03457781
1235.5,8.681783258,0.034604275
1236,8.683038532,0.034615674
1236.5,8.68357855,0.034639144
1237,8.684519111,0.034655595
1237.5,8.685359537,0.034674415
1238,8.684547721,0.034695023
1238.5,8.685917436,0.03470754
1239,8.686393081,0.034733245
1239.5,8.688134729,0.034744063
1240,8.688660442,0.034773254
1240.5,8.687966644,0.034780585
1241,8.689010917,0.034810045
1241.5,8.689150392,0.034820282
1242,8.6911996,0.034844199
1242.5,8.69153577,0.034859889
1243,8.69086343,0.034878933
1243.5,8.691743195,0.034900167
1244,8.692447722,0.034913981
1244.5,8.694032013,0.034939283
1245,8.694443285,0.034949654
1245.5,8.694135725,0.034979382
1246,8.694475472,0.034988457
1246.5,8.694933235,0.03501729
1247,8.696907341,0.035029047
1247.5,8.697211325,0.035051846
1248,8.696971714,0.03506709
1248.5,8.697433054,0.035086804
1249,8.69839865,0.035106608
1249.5,8.699847043,0.035121494
1250,8.699943602,0.035147914
1250.5,8.699804127,0.035155514
1251,8.700190365,0.03518627
1251.5,8.701352656,0.035193199
1252,8.702683032,0.035221496
1252.5,8.702693761,0.035234192
1253,8.7027331,0.035256499
1253.5,8.702908337,0.03527067
1254,8.704167187,0.03529101
1254.5,8.705340207,0.035309607
1255,8.705644191,0.035326549
1255.5,8.705823005,0.035352254
1256,8.705594123,0.035359987
1256.5,8.707500279,0.035389134
1257,8.708118976,0.035397985
1257.5,8.708283484,0.035426014
1258,8.708487332,0.035436386
1258.5,8.70838362,0.035461867
1259,8.710579456,0.035475591
1259.5,8.710883439,0.035496422
1260,8.711552203,0.035519087
1260.5,8.711115897,0.035531336
1261,8.711201728,0.035554716
1261.5,8.712857545,0.035566294
1262,8.713665784,0.035595664
1262.5,8.714724363,0.035602549
1263,8.714370311,0.035632679
1263.5,8.71389109,0.035641262
1264,8.716219247,0.035667056
1264.5,8.716430248,0.035680154
1265,8.716748537,0.035701969
1265.5,8.71825415,0.035720297
1266,8.717606844,0.03573572
1266.5,8.71892649,0.035758921
1267,8.719076694,0.03577269
1267.5,8.720092357,0.035798752
1268,8.721369089,0.035807603
1268.5,8.720153154,0.035836616
1269,8.721669496,0.03584663
1269.5,8.721866192,0.035871798
1270,8.723969044,0.035887176
1270.5,8.723829569,0.035905504
1271,8.723436178,0.035926783
1271.5,8.724122824,0.035940105
1272,8.724802317,0.035963663
1272.5,8.725571217,0.035974929
1273,8.727134051,0.036003181
1273.5,8.726990999,0.036012256
1274,8.726940931,0.036041
1274.5,8.727448763,0.036050522
1275,8.728997292,0.036076674
1275.5,8.729952158,0.036089593
1276,8.729912819,0.036112258
1276.5,8.729941429,0.036130854
1277,8.730109515,0.03614507
1277.5,8.731414856,0.036170819
1278,8.732716622,0.036180296
1278.5,8.732684435,0.036208057
1279,8.732502045,0.036216953
1279.5,8.732991995,0.0362461
1280,8.734315219,0.036256829
1280.5,8.735502543,0.036281505
1281,8.73556334,0.036296391
1281.5,8.73553473,0.036316374
1282,8.735813679,0.036335462
1282.5,8.736693444,0.036351153
1283,8.738216939,0.036374309
1283.5,8.738288464,0.03638486
1284,8.738127532,0.036413872
1284.5,8.738295617,0.036422232
1285,8.740366282,0.036451065
1285.5,8.740648809,0.036460408
1286,8.741013589,0.036486649
1286.5,8.740906301,0.036501714
1287,8.741167369,0.036519193
1287.5,8.742558541,0.03654007
1288,8.743660035,0.036553928
1288.5,8.743974748,0.03658084
1289,8.743681493,0.036590272
1289.5,8.743860307,0.036618882
1290,8.745544734,0.036627644
1290.5,8.746406618,0.036656478
1291,8.746474567,0.036666626
1291.5,8.746431651,0.03669157
1292,8.746438804,0.03670592
1292.5,8.747758451,0.036725187
1293,8.748523775,0.036746287
1293.5,8.74939281,0.036760369
1294,8.750018659,0.036785626
1294.5,8.749271217,0.036794656
1295,8.750923458,0.036823937
1295.5,8.751906934,0.036831671
1296,8.752153698,0.03686198
1296.5,8.752221647,0.036871725
1297,8.751906934,0.036895195
1297.5,8.753877464,0.036908695
1298,8.754646364,0.036929437
1298.5,8.754986111,0.03695161
1299,8.755021873,0.036965111
1299.5,8.754843059,0.036990458
1300,8.755658451,0.036999532
1300.5,8.757357184,0.037028411
1301,8.757721964,0.037037977
1301.5,8.758226219,0.037066409
1302,8.757704083,0.037077808
1302.5,8.759063069,0.037101456
1303,8.760110918,0.037117416
1303.5,8.761101548,0.03713476
1304,8.760990683,0.037158364
1304.5,8.760568682,0.037169808
1305,8.761806074,0.03719596
1305.5,8.762807433,0.037206554
1306,8.763029162,0.037234583
1306.5,8.763147179,0.037243166
1307,8.763229433,0.037271374
1307.5,8.763866011,0.037281656
1308,8.765646998,0.037305573
1308.5,8.765900914,0.037322426
1309,8.766866509,0.037339681
1309.5,8.765893761,0.037361988
1310,8.767406527,0.03737455
1310.5,8.768343512,0.037401149
1311,8.768651072,0.03741076
1311.5,8.769005124,0.037440175
1312,8.76934487,0.037449428
1312.5,8.769309108,0.037475133
1313,8.771075789,0.037488276
1313.5,8.771276061,0.037509778
1314,8.772123639,0.037529313
1314.5,8.771726672,0.03754496
1315,8.772188012,0.03756901
1315.5,8.773682897,0.037579337
1316,8.773922507,0.037605712
1316.5,8.774612729,0.037616172
1317,8.775235002,0.03764514
1317.5,8.775385205,0.037655556
1318,8.77654392,0.037679696
1318.5,8.776622598,0.037694806
1319,8.777359311,0.03771452
1319.5,8.778231923,0.037734145
1320,8.77816755,0.037749702
1320.5,8.779115264,0.03777487
1321,8.779333417,0.037785152
1321.5,8.779741113,0.037812957
1322,8.78090698,0.037822926
1322.5,8.780495708,0.037849614
1323,8.781908338,0.037861416
1323.5,8.781944101,0.037884483
1324,8.782898967,0.037899503
1324.5,8.784397428,0.037919664
1325,8.784157818,0.03794291
1325.5,8.784565513,0.037955069
1326,8.784790819,0.037980729
1326.5,8.785609787,0.037988463
1327,8.786696976,0.038020247
1327.5,8.786575382,0.038027847
1328,8.786940163,0.038056189
1328.5,8.787462299,0.038067722
1329,8.787694757,0.038089582
1329.5,8.788828438,0.038106793
1330,8.789754694,0.038125256
1330.5,8.78945071,0.038148099
1331,8.790255373,0.038158739
1331.5,8.790609425,0.038186365
1332,8.792619293,0.038195708
1332.5,8.791499918,0.038225973
1333,8.791932648,0.038233393
1333.5,8.792948311,0.038260886
1334,8.793187922,0.038274968
1334.5,8.794300145,0.038294727
1335,8.794807976,0.038314128
1335.5,8.793695753,0.038329863
1336,8.794943875,0.038353378
1336.5,8.795834368,0.038365179
1337,8.796850031,0.038393521
1337.5,8.79793722,0.038401166
1338,8.796724862,0.03843067
1338.5,8.798309153,0.038439879
1339,8.798548764,0.038465628
1339.5,8.800293988,0.038482213
1340,8.800311869,0.038500586
1340.5,8.798981494,0.038520837
1341,8.800987786,0.038534203
1341.5,8.80132038,0.038562053
1342,8.802636451,0.038570189
1342.5,8.801867551,0.038599649
1343,8.801592177,0.038608053
1343.5,8.803416079,0.038635635
1344,8.80396325,0.038646588
1344.5,8.804868049,0.038671175
1345,8.80547244,0.038688028
1345.5,8.80454976,0.038705462
1346,8.805944509,0.038728395
1346.5,8.806777782,0.038740286
1347,8.807464427,0.038766974
1347.5,8.808043784,0.038776407
1348,8.80719263,0.038805374
1348.5,8.807947225,0.038814807
1349,8.80940277,0.038840646
1349.5,8.809703178,0.038854638
1350,8.809974975,0.038875917
1350.5,8.809538669,0.038896525
1351,8.810593671,0.038910741
1351.5,8.812081403,0.038934031
1352,8.812878913,0.038944939
1352.5,8.812964744,0.038973504
1353,8.812979049,0.038982847
1353.5,8.813261575,0.039012218
1354,8.81475646,0.039022812
1354.5,8.815010376,0.039045924
1355,8.815983124,0.039064565
1355.5,8.815768547,0.03908115
1356,8.815596885,0.039102742
1356.5,8.817224092,0.039115304
1357,8.817563839,0.039142036
1357.5,8.817739076,0.039152005
1358,8.81791789,0.03918142
1358.5,8.818150349,0.039190406
1359,8.819613047,0.039216334
1359.5,8.820278234,0.039228046
1360,8.820696659,0.039250442
1360.5,8.820868321,0.039268056
1361,8.820467777,0.039285311
1361.5,8.82198412,0.039308915
1362,8.823014088,0.039321655
1362.5,8.823149986,0.039349863
1363,8.823479004,0.039357865
1363.5,8.82308919,0.039386699
1364,8.824294396,0.03939774
1364.5,8.825149126,0.039423087
1365,8.825875111,0.039436945
1365.5,8.825939484,0.039458537
1366,8.826064654,0.039476284
1366.5,8.826633282,0.039492825
1367,8.828174658,0.039518127
1367.5,8.828564473,0.039527515
1368,8.828693219,0.039557958
1368.5,8.828721829,0.03956663
1369,8.828825541,0.039593631
1369.5,8.830302544,0.039603108
1370,8.831175156,0.039628366
1370.5,8.831400462,0.039644772
1371,8.831225224,0.039661983
1371.5,8.831235953,0.039682546
1372,8.83286316,0.039697164
1372.5,8.833653518,0.039723003
1373,8.833918162,0.039733687
1373.5,8.834039756,0.039762342
1374,8.833953925,0.039771238
1374.5,8.834597655,0.039797792
1375,8.836228438,0.039811784
1375.5,8.83673627,0.039833778
1376,8.836725541,0.039849871
1376.5,8.836650439,0.039867663
1377,8.83735139,0.039890328
1377.5,8.838803359,0.039902979
1378,8.839418479,0.039930025
1378.5,8.839357682,0.039939144
1379,8.839171716,0.039967039
1379.5,8.839697429,0.039977723
1380,8.841267415,0.040004143
1380.5,8.84217579,0.040017912
1381,8.842197248,0.040039057
1381.5,8.842086383,0.040058458
1382,8.842190095,0.040072003
1382.5,8.84383876,0.040097618
1383,8.844822237,0.040108302
1383.5,8.844879457,0.040136421
1384,8.844646999,0.040145809
1384.5,8.844997474,0.040173838
1385,8.845820018,0.040182644
1385.5,8.847343513,0.040207902
1386,8.847450802,0.040226185
1386.5,8.846896478,0.040242547
1387,8.847651073,0.040265435
1387.5,8.848219702,0.04027746
1388,8.849789688,0.040304998
1388.5,8.849457094,0.040314341
1389,8.849800417,0.040342638
1389.5,8.850025722,0.040352696
1390,8.850447723,0.040379652
1390.5,8.852092812,0.040392035
1391,8.852847406,0.040412867
1391.5,8.852117846,0.040432671
1392,8.852722237,0.04044711
1392.5,8.853144238,0.040470758
1393,8.853802273,0.0404818
1393.5,8.853834459,0.040511707
1394,8.854707071,0.040521094
1394.5,8.854821512,0.040548006
1395,8.855844328,0.040558198
1395.5,8.85632355,0.040584439
1396,8.857092449,0.040599817
1396.5,8.857117483,0.040619084
1397,8.857346365,0.040639737
1397.5,8.858551571,0.040653998
1398,8.85896642,0.040679747
1398.5,8.859173844,0.040689492
1399,8.859670947,0.040717119
1399.5,8.859209607,0.040726328
1400,8.861029933,0.040753597
1400.5,8.861283848,0.040764773
1401,8.861287425,0.040788823
1401.5,8.862031291,0.040805274
1402,8.861795256,0.040823513
1402.5,8.863311598,0.040846044
1403,8.864041159,0.040857846
1403.5,8.864191363,0.040885741
1404,8.864327262,0.040894413
1404.5,8.864216397,0.04092347
1405,8.866322825,0.040932769
1405.5,8.866669724,0.040959591
1406,8.866891454,0.040972734
1406.5,8.866962979,0.040993297
1407,8.866902183,0.041012967
1407.5,8.867317031,0.041028166
1408,8.86874039,0.041052932
1408.5,8.869562934,0.041062856
1409,8.869587968,0.041093075
1409.5,8.869813274,0.04110063
1410,8.869891952,0.04113
1410.5,8.871143649,0.041140774
1411,8.872034143,0.041165137
1411.5,8.872234414,0.041182304
1412,8.872270177,0.041198799
1412.5,8.872316669,0.041221509
1413,8.872992585,0.041233578
1413.5,8.874569724,0.041261429
1414,8.874970268,0.041270146
1414.5,8.875009607,0.0413005
1415,8.874862979,0.04130716
1415.5,8.875202726,0.041335413
1416,8.876525949,0.041348109
1416.5,8.877580951,0.041369209
1417,8.877613138,0.041387671
1417.5,8.877416442,0.041402915
1418,8.877738308,0.041429156
1418.5,8.878653835,0.041439662
1419,8.880266737,0.041467512
1419.5,8.880306076,0.041474977
1420,8.879966329,0.041504929
1420.5,8.88038833,0.041515434
1421,8.880781721,0.041539797
1421.5,8.88254125,0.041557008
1422,8.88263781,0.041573459
1422.5,8.881336044,0.04159438
1423,8.883009743,0.041608864
1423.5,8.883328031,0.041635463
1424,8.88497312,0.04164494
1424.5,8.885137629,0.04167279
1425,8.884161304,0.041683519
1425.5,8.885602545,0.041709805
1426,8.88586719,0.041722322
1426.5,8.887176108,0.041744629
1427,8.887669634,0.041764388
1427.5,8.886342835,0.041781196
1428,8.887551617,0.041805381
1428.5,8.888477873,0.041815126
1429,8.889139485,0.041841769
1429.5,8.888814043,0.041848922
1430,8.889214587,0.041878873
1430.5,8.889658045,0.041890541
1431,8.89112432,0.04191477
1431.5,8.891428303,0.041930506
1432,8.891532015,0.041949102
1432.5,8.891707253,0.041970828
1433,8.891735863,0.041983122
1433.5,8.89333446,0.042009854
1434,8.894153428,0.042021299
1434.5,8.89407475,0.042049283
1435,8.894182038,0.042060191
1435.5,8.894153428,0.04208594
1436,8.895247769,0.042098904
1436.5,8.896499467,0.042119378
1437,8.896821332,0.042139942
1437.5,8.896867823,0.042154694
1438,8.896785569,0.042178789
1438.5,8.897894215,0.042190591
1439,8.89936049,0.042218843
1439.5,8.899464202,0.042226309
1440,8.89954288,0.042255455
1440.5,8.899292541,0.042265514
1441,8.899743152,0.042290995
1441.5,8.9009269,0.042306864
1442,8.901760173,0.042325461
1442.5,8.902192903,0.042351166
1443,8.901341748,0.042358989
1443.5,8.902257276,0.042386437
1444,8.902586293,0.042396003
1444.5,8.904317212,0.042426983
1445,8.904027534,0.04243418
1445.5,8.903927398,0.042460466
1446,8.904832197,0.042476112
1446.5,8.905018163,0.042495379
1447,8.905486656,0.042515987
1447.5,8.906259132,0.042530203
1448,8.905672622,0.042556712
1448.5,8.90685637,0.042565653
1449,8.907686067,0.042594174
1449.5,8.907847,0.042604456
1450,8.908269001,0.042631099
1450.5,8.90808661,0.042644957
1451,8.908619476,0.042665744
1451.5,8.910314632,0.042682687
1452,8.910497022,0.042700613
1452.5,8.910879684,0.042725647
1453,8.910976244,0.04273642
1453.5,8.911337448,0.042764494
1454,8.912828756,0.042773256
1454.5,8.91313274,0.042801509
1455,8.91318996,0.042813444
1455.5,8.913218571,0.042837092
1456,8.913572622,0.04285256
1456.5,8.913869453,0.042872408
1457,8.915475203,0.042891407
1457.5,8.915793491,0.042906338
1458,8.915904356,0.042933607
1458.5,8.915918661,0.042941118
1459,8.916433645,0.042970577
1459.5,8.917585207,0.042979697
1460,8.918493582,0.043007636
1460.5,8.918579413,0.043020645
1461,8.918436361,0.043040717
1461.5,8.918686701,0.043060073
1462,8.919426991,0.043075764
1462.5,8.92085035,0.043101871
1463,8.921318842,0.043111617
1463.5,8.919977738,0.043142238
1464,8.921351029,0.043149883
1464.5,8.921422554,0.04317751
1465,8.922456099,0.04319025
1465.5,8.923210694,0.043212155
1466,8.922048403,0.043229053
1466.5,8.923950984,0.043246934
1467,8.924090458,0.04327094
1467.5,8.924852206,0.043281579
1468,8.926490142,0.043309921
1468.5,8.924941613,0.043319041
1469,8.926128937,0.043348098
1469.5,8.926744057,0.043357709
1470,8.926915719,0.043384084
1470.5,8.926944329,0.043401921
1471,8.926851346,0.043418148
1471.5,8.92708738,0.043438176
1472,8.928364112,0.04345181
1472.5,8.929419114,0.043479035
1473,8.929705216,0.043487975
1473.5,8.929622962,0.043518016
1474,8.929622962,0.0435287
1474.5,8.9309891,0.043554002
1475,8.932154967,0.043567235
1475.5,8.93237312,0.043587843
1476,8.932158544,0.043607289
1476.5,8.932230069,0.043623606
1477,8.932641341,0.043648505
1477.5,8.934340074,0.043657714
1478,8.93490155,0.043688023
1478.5,8.93470843,0.043694639
1479,8.933782174,0.043725217
1479.5,8.935098245,0.043735945
1480,8.93588145,0.04375946
1480.5,8.937079503,0.043777475
1481,8.936911418,0.043793792
1481.5,8.936303451,0.043816814
1482,8.937744691,0.043828213
1482.5,8.938653066,0.043854946
1483,8.939278915,0.04386724
1483.5,8.939593627,0.043896342
1484,8.938384845,0.043906132
1484.5,8.940019205,0.043930763
1485,8.940455511,0.043946007
1485.5,8.940620019,0.043964559
1486,8.940655782,0.043988028
1486.5,8.940530613,0.043998668
1487,8.942207887,0.044026116
1487.5,8.943223551,0.044034654
1488,8.943309381,0.044064516
1488.5,8.943345144,0.044073457
1489,8.943177059,0.044100234
1489.5,8.943888738,0.044115433
1490,8.945784166,0.044135371
1490.5,8.945930794,0.044156292
1491,8.945923641,0.044170463
1491.5,8.945730522,0.044196838
1492,8.946224049,0.044205109
1492.5,8.946538761,0.044235596
1493,8.947658136,0.044242794
1493.5,8.948351934,0.044272432
1494,8.947690323,0.044282356
1494.5,8.948462799,0.044306228
1495,8.948756054,0.044323662
1495.5,8.949549988,0.044341633
1496,8.951019839,0.04436546
1496.5,8.950708702,0.044375116
1497,8.95109494,0.044404754
1497.5,8.951488331,0.044413606
1498,8.952099875,0.044442395
1498.5,8.953630522,0.044454018
1499,8.952811554,0.044477442
1499.5,8.952178553,0.044494295
1500,8.953405217,0.04451164
1500.5,8.954127625,0.044534439
1501,8.954606846,0.044545973
1501.5,8.954678372,0.044573912
1502,8.954410151,0.044583434
1502.5,8.955794171,0.044612
1503,8.956734732,0.044621656
1503.5,8.957142428,0.044647628
1504,8.95727475,0.044664213
1504.5,8.95706375,0.044681692
1505,8.957800463,0.044704983
1505.5,8.958969907,0.044716874
1506,8.959585026,0.044745082
1506.5,8.959592179,0.04475295
1507,8.959309653,0.044782678
1507.5,8.95961006,0.044792378
1508,8.959817485,0.044818172
1508.5,8.961988286,0.0448344
1509,8.962038354,0.044852102
1509.5,8.961337403,0.044874364
1510,8.961948947,0.044888267
1510.5,8.962703542,0.04491348
1511,8.964316443,0.044923941
1511.5,8.964602546,0.044952819
1512,8.964048223,0.044962252
1512.5,8.964112596,0.044989431
1513,8.965035276,0.045003781
1513.5,8.96555026,0.045024479
1514,8.966025905,0.045045311
1514.5,8.965282039,0.045058811
1515,8.965539531,0.045086795
1515.5,8.967009381,0.045094931
1516,8.967996434,0.045122916
1516.5,8.968025045,0.045134583
1517,8.967821197,0.045159662
1517.5,8.96827896,0.045174057
1518,8.969226674,0.045194307
1518.5,8.970349626,0.045213843
1519,8.970578508,0.045228953
1519.5,8.970521287,0.045254568
1520,8.970388965,0.045264045
1520.5,8.970660762,0.045294622
1521,8.972634868,0.045302311
1521.5,8.973110513,0.045331726
1522,8.971612052,0.045342589
1522.5,8.972416715,0.045364628
1523,8.973246412,0.045384208
1523.5,8.973764972,0.045398736
1524,8.975070314,0.045424575
1524.5,8.974666195,0.045434007
1525,8.974426584,0.045462528
1525.5,8.975942926,0.045473212
1526,8.976200418,0.045500392
1526.5,8.977019386,0.045513848
1527,8.976744013,0.045535887
1527.5,8.976196842,0.045551131
1528,8.977791862,0.045569817
1528.5,8.978632288,0.045595834
1529,8.978750305,0.045606071
1529.5,8.978710966,0.045633474
1530,8.978757458,0.045641208
1530.5,8.979143696,0.045670221
1531,8.980949717,0.045681888
1531.5,8.981529074,0.045705894
1532,8.981414633,0.045723597
1532.5,8.981461125,0.04574036
1533,8.981539803,0.045762757
1533.5,8.982362347,0.045776391
1534,8.983889418,0.045805136
1534.5,8.984043198,0.045812646
1535,8.98396452,0.045841837
1535.5,8.984053927,0.045851538
1536,8.984286385,0.045876572
1536.5,8.984701233,0.045891145
1537,8.985380726,0.04591077
1537.5,8.985491591,0.045932585
1538,8.985960083,0.045945281
1538.5,8.986779051,0.045973578
1539,8.987108069,0.045981804
1539.5,8.988273936,0.046011666
1540,8.98832758,0.046021992
1540.5,8.987952071,0.046046803
1541,8.989311057,0.046063254
1541.5,8.989643651,0.046080599
1542,8.989657956,0.046103621
1542.5,8.989758092,0.046116361
1543,8.989843922,0.046143854
1543.5,8.990223008,0.046152124
1544,8.991607028,0.046181718
1544.5,8.992368775,0.046190435
1545,8.992429572,0.046216989
1545.5,8.992254334,0.046230981
1546,8.992762166,0.046251768
1546.5,8.993913728,0.046274031
1547,8.994897204,0.04628695
1547.5,8.994865018,0.046314398
1548,8.994407254,0.046324367
1548.5,8.995079595,0.04635177
1549,8.995219069,0.046359593
1549.5,8.996134597,0.046388159
1550,8.997035819,0.046402419
1550.5,8.995637494,0.046422804
1551,8.997060853,0.046442026
1551.5,8.997604447,0.046457315
1552,8.997962075,0.046483779
1552.5,8.998487788,0.046492362
1553,8.998126584,0.046524236
1553.5,8.998527127,0.046531657
1554,8.999989825,0.046559462
1554.5,9.000544149,0.046571801
1555,9.000511962,0.046593839
1555.5,9.000554878,0.046614179
1556,9.000551301,0.046628395
1556.5,9.001649219,0.04665334
1557,9.002883035,0.046664739
1557.5,9.003151256,0.046692366
1558,9.002611238,0.046702201
1558.5,9.00235017,0.046728263
1559,9.003333646,0.046738992
1559.5,9.004513818,0.046763623
1560,9.005543787,0.046779716
1560.5,9.005772668,0.046797419
1561,9.004706937,0.046823034
1561.5,9.005912143,0.046833986
1562,9.006090957,0.046861658
1562.5,9.006698925,0.046871046
1563,9.006459314,0.046899745
1563.5,9.006477195,0.046908686
1564,9.008090097,0.046933854
1564.5,9.008748133,0.046950305
1565,9.008837539,0.046968768
1565.5,9.008841116,0.046993131
1566,9.008612234,0.047003904
1566.5,9.009359676,0.047031397
1567,9.011036951,0.047040695
1567.5,9.011469681,0.047069976
1568,9.011534054,0.047078783
1568.5,9.011183578,0.047106141
1569,9.011387426,0.04712067
1569.5,9.013057549,0.047140205
1570,9.013679821,0.047161842
1570.5,9.014051754,0.047174269
1571,9.012506802,0.047201628
1571.5,9.014216263,0.047209764
1572,9.014463026,0.047239894
1572.5,9.014659722,0.047250087
1573,9.014659722,0.047275568
1573.5,9.01464184,0.047289783
1574,9.015957911,0.04730914
1574.5,9.016862709,0.047328988
1575,9.017095167,0.0473445
1575.5,9.017173846,0.047371635
1576,9.016941387,0.047381068
1576.5,9.017220337,0.047409857
1577,9.01866873,0.047420675
1577.5,9.019673665,0.047444904
1578,9.019748766,0.047461176
1578.5,9.019616444,0.047480086
1579,9.01984175,0.047500828
1579.5,9.019891818,0.047514955
1580,9.02085026,0.04754048
1580.5,9.021844466,0.04755112
1581,9.022212823,0.047579998
1581.5,9.02214845,0.047590235
1582,9.022552569,0.047617326
1582.5,9.022738536,0.047629977
1583,9.023757775,0.047651837
1583.5,9.023471673,0.047670523
1584,9.02346452,0.047686035
1584.5,9.025091727,0.047709817
1585,9.025170405,0.047721082
1585.5,9.025563796,0.04775014
1586,9.025760491,0.047759438
1586.5,9.025148948,0.047787959
1587,9.025910695,0.047797704
1587.5,9.027101596,0.047822515
1588,9.02792414,0.047840307
1588.5,9.027970632,0.047856758
1589,9.027909835,0.047880182
1589.5,9.028299649,0.047891716
1590,9.028725226,0.047920192
1590.5,9.030341705,0.047929088
1591,9.030570586,0.047958682
1591.5,9.030191501,0.047970573
1592,9.0305384,0.047993014
1592.5,9.03087457,0.048010493
1593,9.031840165,0.048027525
1593.5,9.031976064,0.048051888
1594,9.031318029,0.048062572
1594.5,9.032058318,0.048092166
1595,9.033184846,0.048099721
1595.5,9.033846458,0.048129851
1596,9.034164747,0.048140848
1596.5,9.033753475,0.048166016
1597,9.033789237,0.048182288
1597.5,9.035369953,0.048199365
1598,9.035938581,0.048221627
1598.5,9.036156734,0.04823477
1599,9.035988649,0.048262486
1599.5,9.036060174,0.048271874
1600,9.03649648,0.048300306
1600.5,9.038302501,0.048310721
1601,9.038742384,0.048336247
1601.5,9.038248857,0.048352519
1602,9.037690958,0.048370535
1602.5,9.038910469,0.048391098
1603,9.039550623,0.048405269
1603.5,9.041163524,0.048432494
1604,9.040480455,0.04844282
1604.5,9.039686521,0.048471475
1605,9.041306576,0.048482204
1605.5,9.041646322,0.048505539
1606,9.04185017,0.048523644
1606.5,9.041961035,0.048540363
1607,9.041610559,0.048564458
1607.5,9.042576155,0.04857702
1608,9.044013819,0.048602099
1608.5,9.044253429,0.048612246
1609,9.044271311,0.048641348
1609.5,9.044224819,0.048652882
1610,9.044432243,0.04867586
1610.5,9.04520472,0.048692176
1611,9.046817621,0.048711399
1611.5,9.046749672,0.048734198
1612,9.0453585,0.048746849
1612.5,9.046921333,0.048774028
1613,9.047060808,0.048783148
1613.5,9.047804674,0.048811401
1614,9.04762586,0.048822353
1614.5,9.047672352,0.04884761
1615,9.048784575,0.048862407
1615.5,9.049532017,0.048883552
1616,9.049667916,0.048903043
1616.5,9.04984673,0.048917661
1617,9.049814543,0.048942114
1617.5,9.050379595,0.048953826
1618,9.051409564,0.048982257
1618.5,9.052425227,0.048993701
1619,9.05239304,0.049018109
1619.5,9.052289328,0.049032996
1620,9.052453837,0.049053559
1620.5,9.052843651,0.049072022
1621,9.053769908,0.049086685
1621.5,9.054585299,0.049114669
1622,9.054610333,0.04912352
1622.5,9.054245553,0.049152265
1623,9.055046639,0.049163083
1623.5,9.055336318,0.049188966
1624,9.055608115,0.049201483
1624.5,9.056255421,0.049223522
1625,9.055744014,0.049245874
1625.5,9.057263932,0.049259419
1626,9.057864747,0.049284453
1626.5,9.057961306,0.049294645
1627,9.058086476,0.049324328
1627.5,9.057911239,0.04933233
1628,9.058283172,0.049360359
1628.5,9.059513411,0.049373502
1629,9.060564837,0.049395809
1629.5,9.06041821,0.049414853
1630,9.059674344,0.049429471
1630.5,9.060664973,0.04945379
1631,9.06085094,0.049463937
1631.5,9.061441026,0.049494336
1632,9.062882266,0.0495035
1632.5,9.061580501,0.049530277
1633,9.063053928,0.049544091
1633.5,9.063450895,0.049565057
1634,9.063733421,0.049585441
1634.5,9.063626132,0.049599389
1635,9.063483081,0.04962554
1635.5,9.064073167,0.049635465
