Time (sec),Instron Force (kN),Extensometer (mm/mm)
1439,8.992433148,0.040157646
1439.5,8.992504674,0.040191692
1440,8.993742066,0.040203646
1440.5,8.994779187,0.040214223
1441,8.995083171,0.040251586
1441.5,8.994911509,0.040252212
1442,8.995036679,0.040279812
1442.5,8.995530206,0.040299651
1443,8.996710378,0.040303093
1443.5,8.997665244,0.040344337
1444,8.997761804,0.040347904
1444.5,8.997772533,0.040366742
1445,8.998416263,0.040395469
1445.5,9.000111419,0.040395281
1446,9.000494081,0.040435022
1446.5,9.000465471,0.040443972
1447,9.000318843,0.040454423
1447.5,9.000397521,0.040491098
1448,9.001077014,0.0404921
1448.5,9.003161985,0.040522328
1449,9.002950984,0.040539351
1449.5,9.002722103,0.040544358
1450,9.003172714,0.040585914
1450.5,9.003659088,0.040587354
1451,9.004871446,0.040608695
1451.5,9.005912143,0.040635106
1452,9.005593855,0.040636858
1452.5,9.005829889,0.040674347
1453,9.00658806,0.040683234
1453.5,9.007775385,0.04069694
1454,9.008054334,0.040730235
1454.5,9.007918436,0.040731049
1455,9.008022148,0.040762028
1455.5,9.00871237,0.040778363
1456,9.00904854,0.040784434
1456.5,9.009828169,0.04082455
1457,9.010228712,0.040826616
1457.5,9.00997122,0.040849334
1458,9.011405308,0.040873805
1458.5,9.011984665,0.040877622
1459,9.013683397,0.040915737
1459.5,9.013597567,0.040920931
1460,9.012785751,0.04093664
1460.5,9.014116127,0.040967432
1461,9.014294941,0.040968746
1461.5,9.014530975,0.04100855
1462,9.014520247,0.041017124
1462.5,9.014294941,0.041025823
1463,9.015750487,0.041064689
1463.5,9.016730387,0.041065815
1464,9.016916354,0.041090286
1464.5,9.017166693,0.041112566
1465,9.016923506,0.041115007
1465.5,9.018536408,0.041157189
1466,9.019459088,0.041160756
1466.5,9.019752343,0.04118216
1467,9.019938309,0.041208258
1467.5,9.019569952,0.041208884
1468,9.020807345,0.041250003
1468.5,9.022019704,0.041256637
1469,9.022423823,0.041268653
1469.5,9.02235945,0.041304076
1470,9.022270043,0.04130514
1470.5,9.022280772,0.041331801
1471,9.024115403,0.041350576
1471.5,9.025041659,0.041356647
1472,9.025066693,0.041395763
1472.5,9.025005896,0.041400331
1473,9.025485118,0.04141992
1473.5,9.026372035,0.041446707
1474,9.027809699,0.041448334
1474.5,9.027816852,0.041488013
1475,9.027816852,0.041494897
1475.5,9.027942021,0.041509041
1476,9.027984937,0.041544715
1476.5,9.029293855,0.041543901
1477,9.030084212,0.041579637
1477.5,9.029572805,0.041591716
1478,9.029730161,0.041596848
1478.5,9.030588468,0.041638029
1479,9.031192859,0.041639218
1479.5,9.032680591,0.041664127
1480,9.032927354,0.041684154
1480.5,9.032090505,0.041688159
1481,9.033356508,0.041730154
1481.5,9.033621152,0.041733658
1482,9.035069545,0.041751245
1482.5,9.035548767,0.041781911
1483,9.034357866,0.04178066
1483.5,9.035802682,0.041818962
1484,9.036078056,0.041829726
1484.5,9.036417802,0.041838926
1485,9.036703905,0.04187679
1485.5,9.036292633,0.041877604
1486,9.038141569,0.041905266
1486.5,9.038778146,0.041926107
1487,9.03880318,0.04192861
1487.5,9.039425453,0.041970605
1488,9.039085706,0.041974297
1488.5,9.040788015,0.041995388
1489,9.041363796,0.042020923
1489.5,9.041567644,0.042023239
1490,9.041553339,0.042062542
1490.5,9.041456779,0.04206999
1491,9.041714271,0.042086512
1491.5,9.042973122,0.042116052
1492,9.044106802,0.042116741
1492.5,9.044020971,0.042153415
1493,9.044024548,0.042164806
1493.5,9.04431065,0.042171315
1494,9.044957956,0.042212057
1494.5,9.046524367,0.042212996
1495,9.046917757,0.042239595
1495.5,9.046406349,0.042258996
1496,9.046835503,0.042261312
1496.5,9.047450623,0.042303682
1497,9.049346051,0.042308062
1497.5,9.049371085,0.042328403
1498,9.049188694,0.04235594
1498.5,9.049013457,0.04235788
1499,9.049839577,0.042393616
1499.5,9.049743018,0.042403504
1500,9.051888785,0.042417273
1500.5,9.051634869,0.042451695
1501,9.051438174,0.042450193
1501.5,9.052425227,0.042481673
1502,9.053212008,0.042498321
1502.5,9.053583941,0.042503765
1503,9.053473076,0.042546135
1503.5,9.053555331,0.042547262
1504,9.054935775,0.04257142
1504.5,9.055153928,0.04259539
1505,9.055397114,0.042598707
1505.5,9.055318436,0.042638073
1506,9.055143199,0.04264164
1506.5,9.056688151,0.042661542
1507,9.057635865,0.04269127
1507.5,9.057947001,0.042690706
1508,9.057868323,0.042728383
1508.5,9.057964883,0.04273946
1509,9.058683715,0.042747221
1509.5,9.060296617,0.04278546
1510,9.0606006,0.04278715
1510.5,9.06057199,0.042818067
1511,9.06054338,0.042835778
1511.5,9.060804448,0.04284066
1512,9.061787925,0.04287965
1512.5,9.063282809,0.042881903
1513,9.063275657,0.042904246
1513.5,9.062546096,0.042931032
1514,9.063289962,0.042941985
1514.5,9.063440166,0.042978159
1515,9.06533917,0.042980224
1515.5,9.065789781,0.043008888
1516,9.06506022,0.043026474
1516.5,9.065950714,0.043029791
1517,9.066176019,0.043069908
1517.5,9.066741071,0.04307504
1518,9.067710243,0.043093002
1518.5,9.066744647,0.043122918
1519,9.068042837,0.043123606
1519.5,9.068675838,0.043159655
1520,9.068890415,0.043171609
1520.5,9.069047771,0.043180683
1521,9.068851076,0.043215356
1521.5,9.069555603,0.04321886
1522,9.070982538,0.043243206
1522.5,9.071533285,0.0432663
1523,9.071901642,0.043269992
1523.5,9.07160481,0.043311423
1524,9.071558319,0.043313051
1524.5,9.072774254,0.043333391
1525,9.07400807,0.043361929
1525.5,9.074240528,0.04336412
1526,9.074283443,0.043400482
1526.5,9.074269138,0.043408868
1527,9.074769817,0.043420196
1527.5,9.07621821,0.043456558
1528,9.07683333,0.043457684
1528.5,9.076829754,0.043488726
1529,9.076572262,0.043505499
1529.5,9.077044331,0.04350963
1530,9.078020655,0.043552
1530.5,9.07911142,0.0435525
1531,9.079587065,0.043578035
1531.5,9.078120791,0.043601004
1532,9.079644285,0.043601942
1532.5,9.079830252,0.043642685
1533,9.081060492,0.04364838
1533.5,9.081486069,0.043667156
1534,9.080198609,0.043696696
1534.5,9.081632696,0.043697134
1535,9.082312189,0.043729741
1535.5,9.082737767,0.043743009
1536,9.083202683,0.043753836
1536.5,9.082920157,0.043791262
1537,9.083495938,0.043792326
1537.5,9.084990822,0.043820364
1538,9.085251891,0.043839515
1538.5,9.085280501,0.043842644
1539,9.08510884,0.043884012
1539.5,9.085630976,0.043888331
1540,9.086535775,0.043911425
1540.5,9.087805354,0.043936146
1541,9.087973439,0.043936897
1541.5,9.087533557,0.04397476
1542,9.087805354,0.043981707
1542.5,9.088134372,0.043998918
1543,9.089539849,0.044031024
1543.5,9.09060558,0.044031963
1544,9.090337359,0.044066447
1544.5,9.0896829,0.044080153
1545,9.090691411,0.044086975
1545.5,9.091263616,0.044125152
1546,9.092897975,0.044126153
1546.5,9.092025363,0.044150499
1547,9.091488921,0.04417353
1547.5,9.093287789,0.044175345
1548,9.093559587,0.04421615
1548.5,9.093645417,0.044222284
1549,9.093459451,0.044238994
1549.5,9.093434417,0.044269035
1550,9.095022285,0.044270787
1550.5,9.096030795,0.044305146
1551,9.096291864,0.044318039
1551.5,9.096206033,0.04432799
1552,9.096116626,0.044365603
1552.5,9.097143018,0.044365916
1553,9.098577106,0.044395456
1553.5,9.098924005,0.044411415
1554,9.098898971,0.044418112
1554.5,9.09881314,0.044458041
1555,9.099281633,0.044460669
1555.5,9.100147092,0.044481761
1556,9.101488197,0.044508735
1556.5,9.100919569,0.044511739
1557,9.100976789,0.04454979
1557.5,9.101230705,0.044556111
1558,9.102067554,0.044570068
1558.5,9.102743471,0.04460305
1559,9.103419388,0.044605053
1559.5,9.103086794,0.044638536
1560,9.104113186,0.044652242
1560.5,9.104256237,0.044658125
1561,9.104803407,0.044698868
1561.5,9.104899967,0.044701121
1562,9.105107391,0.044724214
1562.5,9.105404222,0.044747433
1563,9.106605852,0.044749436
1563.5,9.107063616,0.044790304
1564,9.107035006,0.044793684
1564.5,9.107052887,0.044812584
1565,9.107195938,0.044842688
1565.5,9.108901823,0.044844815
1566,9.109735096,0.044884119
1566.5,9.109992588,0.044890502
1567,9.109960402,0.044902832
1567.5,9.109935368,0.044937817
1568,9.110185707,0.044938568
1568.5,9.111762846,0.044968921
1569,9.112649763,0.044985381
1569.5,9.11258539,0.044992015
1570,9.111859406,0.045032508
1570.5,9.112735594,0.045034573
1571,9.112910832,0.045058731
1571.5,9.11347946,0.045081637
1572,9.114677514,0.045085767
1572.5,9.113854969,0.045125071
1573,9.115081633,0.045129952
1573.5,9.115392769,0.045148227
1574,9.116351212,0.045177392
1574.5,9.116268958,0.045179269
1575,9.115846957,0.045215506
1575.5,9.117059315,0.04522602
1576,9.117928351,0.045236472
1576.5,9.118182267,0.04527227
1577,9.118300284,0.04527371
1577.5,9.118192996,0.045302248
1578,9.118289555,0.045321462
1578.5,9.119591321,0.045324591
1579,9.120839442,0.045365897
1579.5,9.120850171,0.04536959
1580,9.12079295,0.045391307
1580.5,9.120914544,0.045416528
1581,9.121361579,0.045419345
1581.5,9.123274888,0.045458022
1582,9.123661126,0.045464594
1582.5,9.123106803,0.045482242
1583,9.123128261,0.045511657
1583.5,9.123750533,0.045512095
1584,9.124970044,0.045545891
1584.5,9.12516674,0.045559785
1585,9.124168958,0.045567859
1585.5,9.124362077,0.045606223
1586,9.126139487,0.0456076
1586.5,9.126429166,0.045637954
1587,9.126672353,0.045656166
1587.5,9.126575793,0.045661799
1588,9.126554336,0.045702479
1588.5,9.128603544,0.045703918
1589,9.129075612,0.045727951
1589.5,9.129182901,0.045750794
1590,9.129075612,0.045754362
1590.5,9.129111375,0.045794729
1591,9.12955841,0.045799923
1591.5,9.131139125,0.045815695
1592,9.131589736,0.045847863
1592.5,9.131611194,0.045846486
1593,9.1312786,0.04588435
1593.5,9.131761398,0.045893175
1594,9.13248023,0.045906192
1594.5,9.133703317,0.045942304
1595,9.133599605,0.045942742
1595.5,9.133588876,0.04597222
1596,9.134468641,0.045988742
1596.5,9.134729709,0.045993185
1597,9.135012235,0.046037746
1597.5,9.135226812,0.046037746
1598,9.134904947,0.046063969
1598.5,9.135677423,0.046085686
1599,9.137039985,0.046090693
1599.5,9.137268867,0.046128118
1600,9.137394037,0.04613325
1600.5,9.137211647,0.046150399
1601,9.137308206,0.046181941
1601.5,9.138792362,0.046181941
1602,9.139911737,0.046219492
1602.5,9.139983263,0.046228943
1603,9.139972534,0.04624146
1603.5,9.139908161,0.046275756
1604,9.140584078,0.046276257
1604.5,9.141771402,0.046309177
1605,9.141864386,0.046323446
1605.5,9.142118302,0.046329016
1606,9.141939488,0.046369446
1606.5,9.142665472,0.0463727
1607,9.142826405,0.046395794
1607.5,9.143781271,0.046419576
1608,9.14425334,0.046423582
1608.5,9.143352118,0.046463699
1609,9.144882765,0.046467391
1609.5,9.145429936,0.046484226
1610,9.145741072,0.046515581
1610.5,9.145873394,0.04651846
1611,9.145612326,0.046555198
1611.5,9.146670905,0.046562332
1612,9.147493449,0.046575976
1612.5,9.148026314,0.046611524
1613,9.148133603,0.046610585
1613.5,9.147679415,0.046644506
1614,9.148079958,0.046659464
1614.5,9.14830884,0.046666536
1615,9.150608388,0.046703086
1615.5,9.149903861,0.046707404
1616,9.149968234,0.046734378
1616.5,9.150876609,0.046754218
1617,9.151187745,0.046758286
1617.5,9.152654019,0.046797026
1618,9.152732697,0.046801907
1618.5,9.151770678,0.046824375
1619,9.152854291,0.046850098
1619.5,9.153090325,0.046851537
1620,9.153705445,0.04689034
1620.5,9.153723327,0.0468981
1621,9.15366253,0.046912808
1621.5,9.15381631,0.046945227
1622,9.154445735,0.046945101
1622.5,9.156094399,0.046982214
1623,9.156330434,0.046994481
1623.5,9.156409112,0.047003118
1624,9.156262485,0.047039479
1624.5,9.156881181,0.047040481
1625,9.158805219,0.047067392
1625.5,9.158998338,0.047088108
1626,9.158708659,0.047092677
1626.5,9.157878963,0.04713417
1627,9.159055558,0.047136111
1627.5,9.159330932,0.047161583
1628,9.159931747,0.047185052
1628.5,9.159735051,0.04718574
1629,9.159381,0.047224167
1629.5,9.160743562,0.047230927
1630,9.161755649,0.047249577
1630.5,9.162170497,0.04727918
1631,9.162038175,0.047281433
1631.5,9.162005988,0.047319672
1632,9.163697568,0.047326869
1632.5,9.164427129,0.047342328
1633,9.164656011,0.047377125
1633.5,9.164566604,0.047374622
1634,9.164216129,0.047412485
1634.5,9.164688198,0.047423062
1635,9.164784757,0.047431762
1635.5,9.165707437,0.047470251
1636,9.166812507,0.047472379
1636.5,9.165982811,0.047497726
1637,9.166884033,0.04751938
1637.5,9.167352525,0.047524012
1638,9.167974798,0.047562564
1638.5,9.168550579,0.047566069
1639,9.168554155,0.047590164
1639.5,9.169044105,0.047614509
1640,9.169945328,0.047617075
1640.5,9.169966785,0.047656879
1641,9.170109836,0.047662387
1641.5,9.170109836,0.047682164
1642,9.170149176,0.047711516
1642.5,9.170274345,0.047714583
1643,9.172244875,0.04775326
1643.5,9.172588198,0.047757704
1644,9.172631113,0.047776104
1644.5,9.172405808,0.047804893
1645,9.17299947,0.047805205
1645.5,9.174143879,0.047842569
1646,9.175223915,0.047853396
1646.5,9.174723236,0.047864035
1647,9.175145237,0.047900147
1647.5,9.175377695,0.047900272
1648,9.175535052,0.047933254
1648.5,9.176053612,0.047949464
1649,9.17569956,0.047956786
1649.5,9.175552933,0.047993586
1650,9.176851122,0.047995464
1650.5,9.177527039,0.048023126
1651,9.17828521,0.048044217
1651.5,9.178185074,0.048046658
1652,9.17794904,0.048087714
1652.5,9.178610651,0.048093033
1653,9.179300873,0.048111621
1653.5,9.180985301,0.048138845
1654,9.180985301,0.048142601
1654.5,9.180144875,0.048180152
1655,9.180874436,0.048187537
1655.5,9.180963843,0.048201994
1656,9.181922286,0.048235038
1656.5,9.1813322,0.048236415
1657,9.181099742,0.048273278
1657.5,9.182490914,0.048284919
1658,9.183492272,0.04829487
1658.5,9.183706849,0.048331732
1659,9.184132426,0.048331795
1659.5,9.183899968,0.048361084
1660,9.18449363,0.048379171
1660.5,9.185494988,0.048382176
1661,9.186321109,0.048426611
1661.5,9.186421245,0.048428363
1662,9.186331838,0.048453647
1662.5,9.186424821,0.048475552
1663,9.186446278,0.048478306
1663.5,9.187533467,0.048520488
1664,9.188166469,0.048523117
1664.5,9.187529891,0.048544083
1665,9.187644332,0.048569993
1665.5,9.189028352,0.048571057
1666,9.1892322,0.048610047
1666.5,9.190204948,0.048618058
1667,9.189446776,0.048633516
1667.5,9.18975076,0.048666499
1668,9.191088288,0.048666248
1668.5,9.191789239,0.048701171
1669,9.192068189,0.048714251
1669.5,9.191892951,0.048723639
1670,9.191689103,0.048760126
1670.5,9.191896528,0.048761753
1671,9.193738311,0.048791668
1671.5,9.193917125,0.048810194
1672,9.194070905,0.048812697
1672.5,9.193895667,0.048855442
1673,9.194639533,0.048858634
1673.5,9.194761127,0.048881478
1674,9.196524232,0.04890695
1674.5,9.196316808,0.048910142
1675,9.195193857,0.048951948
1675.5,9.196710199,0.048957831
1676,9.197450489,0.048975856
1676.5,9.197486251,0.04900502
1677,9.197550624,0.049004895
1677.5,9.197271675,0.049045513
1678,9.197575658,0.049053649
1678.5,9.198247999,0.049064601
1679,9.19931373,0.049100337
1679.5,9.200028986,0.049101088
1680,9.199267238,0.049135447
1680.5,9.200075477,0.049147964
1681,9.200358003,0.049155412
1681.5,9.201674074,0.049194465
1682,9.201867193,0.049195842
1682.5,9.201016039,0.049225695
1683,9.202099651,0.049244407
1683.5,9.202818483,0.049247912
1684,9.202900738,0.049289656
1684.5,9.20303306,0.049292535
1685,9.202829212,0.049315441
1685.5,9.202875704,0.049339787
1686,9.204073757,0.049341539
1686.5,9.204914183,0.049381656
1687,9.205579371,0.049387226
1687.5,9.205482811,0.049405313
1688,9.205615133,0.049436418
1688.5,9.205908388,0.049435354
1689,9.206913323,0.049472842
1689.5,9.207721562,0.049482793
1690,9.207474798,0.049494059
1690.5,9.207102865,0.049530984
1691,9.208268732,0.049529669
1691.5,9.208333105,0.04956528
1692,9.208676428,0.049579487
1692.5,9.208390326,0.049587185
1693,9.208343834,0.049623734
1693.5,9.209495396,0.049625549
1694,9.210396618,0.049655402
1694.5,9.210986704,0.049674178
1695,9.211015315,0.04967981
1695.5,9.211026043,0.04971999
1696,9.21105823,0.049721617
1696.5,9.212395758,0.049742708
1697,9.213443608,0.049770058
1697.5,9.213161082,0.049771685
1698,9.213153929,0.049812678
1698.5,9.213693947,0.049818373
1699,9.213790507,0.049834583
1699.5,9.214087338,0.049865875
1700,9.214480729,0.0498655
1700.5,9.213990779,0.04990618
1701,9.214909882,0.049912626
1701.5,9.216365428,0.04992314
1702,9.216458411,0.049960504
1702.5,9.216540665,0.049961004
1703,9.216433377,0.049995113
1703.5,9.216569276,0.050008444
1704,9.216633649,0.050016455
1704.5,9.218639941,0.050055507
1705,9.219176383,0.050058011
1705.5,9.217885346,0.05008486
1706,9.218865247,0.050103948
1706.5,9.219115586,0.050107516
1707,9.219333739,0.050149948
1707.5,9.219648452,0.050151951
1708,9.219562621,0.050172416
1708.5,9.219863029,0.050200204
1709,9.221515269,0.050201205
1709.5,9.221973033,0.050239382
1710,9.222008796,0.050248457
1710.5,9.22193727,0.05026379
1711,9.221955152,0.05029552
1711.5,9.222384305,0.050294018
1712,9.224261852,0.050332758
1712.5,9.224590869,0.05034296
1713,9.224419208,0.0503541
1713.5,9.223432155,0.050389898
1714,9.224723192,0.050391776
1714.5,9.224719615,0.050422881
1715,9.226475568,0.050437839
1715.5,9.226264568,0.050445662
1716,9.224912734,0.05048509
1716.5,9.227158637,0.050487281
1717,9.227280231,0.050511563
1717.5,9.227437587,0.050535158
1718,9.227469774,0.050537286
1718.5,9.22734818,0.050578967
1719,9.227727266,0.050583912
1719.5,9.228728624,0.050604127
1720,9.230109068,0.050629912
1720.5,9.22996244,0.05063254
1721,9.228739353,0.050670404
1721.5,9.230166288,0.050678164
1722,9.230209203,0.050689617
1722.5,9.231071087,0.050725666
1723,9.23150024,0.050726167
1723.5,9.230795713,0.050761277
1724,9.232194038,0.050773732
1724.5,9.232809158,0.050783808
1725,9.232812734,0.050821296
1725.5,9.233027311,0.050823737
1726,9.232866379,0.050851337
1726.5,9.233002277,0.050869549
1727,9.234093042,0.050874869
1727.5,9.235484215,0.050915674
1728,9.235602232,0.05091605
1728.5,9.234761806,0.050942523
1729,9.235012146,0.050964615
1729.5,9.23555574,0.050966493
1730,9.236378284,0.051007361
1730.5,9.23727593,0.051012994
1731,9.236796709,0.051031268
1731.5,9.235913368,0.051061747
1732,9.237604948,0.051061559
1732.5,9.238366696,0.051096482
1733,9.238284441,0.051107559
1733.5,9.238409611,0.051119826
1734,9.238255831,0.051156376
1734.5,9.238702866,0.051155687
1735,9.239511105,0.051188231
1735.5,9.240562531,0.051204253
1736,9.241088244,0.051211513
1736.5,9.240183445,0.05124969
1737,9.2410346,0.051252506
1737.5,9.241152617,0.051279981
1738,9.242186161,0.051300321
1738.5,9.241799923,0.051304514
1739,9.241395804,0.051344068
1739.5,9.242440077,0.051347072
1740,9.243684622,0.05136616
1740.5,9.243924233,0.051395512
1741,9.243884894,0.051396138
1741.5,9.243881318,0.051436443
1742,9.243902775,0.051443265
1742.5,9.244174572,0.05145985
1743,9.245833966,0.051490516
1743.5,9.246177289,0.051491205
1744,9.246095034,0.051530633
1744.5,9.246044966,0.051539145
1745,9.246567103,0.051551975
1745.5,9.247189376,0.051586521
1746,9.247947547,0.051586271
1746.5,9.247679326,0.051621256
1747,9.247253749,0.051634649
1747.5,9.248205039,0.051636589
1748,9.249274346,0.05168115
1748.5,9.249310109,0.051681275
1749,9.249363753,0.051710377
1749.5,9.249134871,0.051729027
1750,9.249449584,0.051731844
1750.5,9.249939534,0.051776404
1751,9.251659724,0.051777405
1751.5,9.25181708,0.051800499
1752,9.250754926,0.051824907
1752.5,9.251963708,0.051825533
1753,9.25227842,0.051869155
1753.5,9.252972219,0.051873035
1754,9.253580186,0.051894376
1754.5,9.252332065,0.051920099
1755,9.253186795,0.051921976
1755.5,9.254370544,0.051957775
1756,9.254803273,0.051968915
1756.5,9.254749629,0.051983622
1757,9.254674527,0.052014727
1757.5,9.254699561,0.052017481
1758,9.25517163,0.052050588
1758.5,9.25719938,0.052063481
1759,9.257102821,0.052072806
1759.5,9.256509158,0.052109668
1760,9.25689182,0.052110732
1760.5,9.25732455,0.052140898
1761,9.257692907,0.052160049
1761.5,9.258097026,0.05216587
1762,9.257928941,0.05220461
1762.5,9.257764432,0.052206863
1763,9.25883374,0.052233211
1763.5,9.260046098,0.052254552
1764,9.260117624,0.052258746
1764.5,9.260028217,0.052299864
1765,9.259799335,0.05230268
1765.5,9.260410879,0.052323208
1766,9.260997388,0.052351121
1766.5,9.261777017,0.052351309
1767,9.261862848,0.052393053
1767.5,9.261483762,0.052396996
1768,9.262885664,0.052415521
1768.5,9.263000105,0.052444748
1769,9.262964342,0.052445186
1769.5,9.262996528,0.052484176
1770,9.262925003,0.052493063
1770.5,9.263429258,0.052502764
1771,9.265017126,0.052541754
1771.5,9.264909838,0.052541442
1772,9.265428398,0.052576176
1772.5,9.265178058,0.052588192
1773,9.265746687,0.052597455
1773.5,9.266190145,0.052636445
1774,9.266744469,0.052638636
1774.5,9.267030571,0.052662731
1775,9.266383264,0.052684323
1775.5,9.268017624,0.052688453
1776,9.268360947,0.052730949
1776.5,9.268393133,0.052731449
1777,9.268457506,0.052753917
1777.5,9.268385981,0.052780453
1778,9.268582676,0.052783958
1778.5,9.268829439,0.05282251
1779,9.269920204,0.052828018
1779.5,9.270767782,0.052848608
1780,9.270242069,0.052875394
1780.5,9.271061037,0.052876584
1781,9.271171902,0.052915324
1781.5,9.271515225,0.052924774
1782,9.272266243,0.052942047
1782.5,9.271998022,0.052970336
1783,9.27214465,0.052970711
1783.5,9.273367737,0.0530082
1784,9.273854111,0.053019277
1784.5,9.27383623,0.053031293
1785,9.273829077,0.053067092
1785.5,9.273807619,0.053068281
1786,9.27386484,0.053096882
1786.5,9.274419163,0.05311522
1787,9.276250218,0.053121979
1787.5,9.275642251,0.053160156
1788,9.274748181,0.053162784
1788.5,9.276586388,0.053189132
1789,9.27675805,0.053209598
1789.5,9.277240847,0.053215981
1790,9.277287339,0.053255285
1790.5,9.27671871,0.053256849
1791,9.277190779,0.053280319
1791.5,9.279000376,0.053306479
1792,9.279315089,0.053308044
1792.5,9.27917919,0.05334985
1793,9.278184985,0.053353606
1793.5,9.279350852,0.053373445
1794,9.2795547,0.053401295
1794.5,9.281006669,0.053404174
1795,9.281028127,0.053441475
1795.5,9.279518937,0.053449047
1796,9.281439399,0.053466383
1796.5,9.281929349,0.053495673
1797,9.282365655,0.053499241
1797.5,9.282451486,0.053534413
1798,9.282036637,0.053543864
1798.5,9.282097434,0.053555755
1799,9.283145284,0.053591929
1799.5,9.284565066,0.053593556
1800,9.283853387,0.053627978
1800.5,9.282973622,0.053640369
1801,9.284239625,0.053650633
1801.5,9.284765338,0.053687871
1802,9.285194491,0.053689311
1802.5,9.286113595,0.053721792
1803,9.28489766,0.053736875
1803.5,9.285884713,0.053744198
1804,9.287333106,0.0537825
1804.5,9.2874547,0.053783564
1805,9.287536954,0.053818674
1805.5,9.287436818,0.053832505
1806,9.287376022,0.053837199
1806.5,9.287536954,0.053878442
1807,9.288802957,0.053879882
1807.5,9.288520431,0.05390623
1808,9.288599109,0.053924943
1808.5,9.288459634,0.053929261
1809,9.29006896,0.053969503
1809.5,9.290276384,0.053975574
1810,9.290362214,0.053996227
1810.5,9.290301418,0.054022075
1811,9.290283536,0.054025204
1811.5,9.291263437,0.054064883
1812,9.292836999,0.054070077
1812.5,9.292804813,0.054087664
1813,9.292704677,0.054117829
1813.5,9.292275524,0.054116202
1814,9.292937135,0.054156695
1814.5,9.292997932,0.054165269
1815,9.293294763,0.054178599
1815.5,9.293545103,0.054213021
1816,9.292983627,0.054214961
1816.5,9.294092273,0.054248632
1817,9.295619344,0.054262088
1817.5,9.295726633,0.05426916
1818,9.295812464,0.054307587
1818.5,9.295658684,0.054309965
1819,9.295805311,0.054341508
1819.5,9.297099924,0.054357655
1820,9.297364569,0.054363788
1820.5,9.297675705,0.054402278
1821,9.296141481,0.054404969
1821.5,9.298230028,0.054428751
1822,9.298147774,0.054452408
1822.5,9.298469639,0.054456914
1823,9.298569775,0.054497657
1823.5,9.298637724,0.054501788
1824,9.298748588,0.054521565
1824.5,9.299631929,0.054548726
1825,9.300837135,0.054550541
1825.5,9.301180458,0.054591785
1826,9.301087475,0.054597605
1826.5,9.301037407,0.054614879
1827,9.301141119,0.054644794
1827.5,9.301741934,0.054645357
1828,9.302882767,0.054682721
1828.5,9.301416493,0.054692484
1829,9.301981545,0.054704187
1829.5,9.302571631,0.054738171
1830,9.303755379,0.054740674
1830.5,9.303919888,0.054776222
1831,9.303941345,0.054788051
1831.5,9.303916311,0.054799629
1832,9.30454216,0.054835991
1832.5,9.30561862,0.054834677
1833,9.306544876,0.054866407
1833.5,9.306498385,0.054883681
1834,9.305722332,0.054888375
1834.5,9.306437588,0.054931496
1835,9.306566334,0.054931496
1835.5,9.306623555,0.054960285
1836,9.306773758,0.054979623
1836.5,9.30660925,0.054983942
1837,9.306999064,0.055025874
1837.5,9.308436728,0.055028001
1838,9.309230662,0.055049405
1838.5,9.309198475,0.055076317
1839,9.308733559,0.055077882
1839.5,9.309262848,0.055119438
1840,9.309531069,0.055123443
1840.5,9.310968733,0.055144159
1841,9.309945918,0.055171696
1841.5,9.31035719,0.055174137
1842,9.310221291,0.055213065
1842.5,9.311555243,0.055220763
1843,9.312002278,0.055236034
1843.5,9.311819888,0.055267889
1844,9.311902142,0.055268953
1844.5,9.312002278,0.05530519
1845,9.312066651,0.055315016
1845.5,9.314215995,0.055327783
1846,9.314108706,0.055362705
1846.5,9.314140893,0.055364082
1847,9.314341164,0.05539575
1847.5,9.314777471,0.055412586
1848,9.315088607,0.055417029
1848.5,9.315256692,0.055457334
1849,9.315013505,0.055459587
1849.5,9.314827538,0.055488876
1850,9.315600015,0.055506776
1850.5,9.317280866,0.055511407
1851,9.317262984,0.055552776
1851.5,9.31720934,0.055554778
1852,9.316393949,0.055578686
1852.5,9.317524053,0.055603282
1853,9.317541934,0.055604471
1853.5,9.318579055,0.055646403
1854,9.31871853,0.055650095
1854.5,9.317845918,0.055671061
1855,9.319111921,0.055697409
1855.5,9.320138313,0.055699537
1856,9.320281364,0.055739404
1856.5,9.320252754,0.055745224
1857,9.320238448,0.055762185
1857.5,9.320163347,0.055793665
1858,9.320463754,0.055794478
1858.5,9.321143247,0.055832843
1859,9.321826316,0.055840729
1859.5,9.321343519,0.055857501
1860,9.322527267,0.055889607
1860.5,9.322942115,0.05588992
1861,9.323381998,0.055926094
1861.5,9.32317815,0.055936922
1862,9.322913505,0.055947874
1862.5,9.323557235,0.055984799
1863,9.323972084,0.0559858
1863.5,9.324959137,0.056019471
1864,9.325120069,0.05603349
1864.5,9.324605085,0.056040625
1865,9.325220205,0.056079615
1865.5,9.325556375,0.056079678
1866,9.325803138,0.056109718
1866.5,9.325770952,0.056129308
1867,9.325881816,0.056132625
1867.5,9.326096393,0.05617318
1868,9.326922514,0.056177122
1868.5,9.327984668,0.056200592
1869,9.328488924,0.056224311
1869.5,9.328349449,0.056227253
1870,9.328102686,0.056267683
1870.5,9.328524687,0.056271876
1871,9.328785755,0.056291089
1871.5,9.32898245,0.056318689
1872,9.329472401,0.056319065
1872.5,9.328428127,0.056360496
1873,9.330005266,0.056367068
1873.5,9.330867149,0.056380523
1874,9.331185438,0.056414945
1874.5,9.331296303,0.05641701
1875,9.331038811,0.056448052
