Time (sec),Instron Force (kN),Extensometer (mm/mm)
83,0.982476788,5.78857E-05
83.5,0.982623415,5.85115E-05
84,0.98255189,5.90748E-05
84.5,0.982505398,5.5132E-05
85,0.982548313,5.68218E-05
85.5,0.982576924,5.65088E-05
86,0.982480364,5.35673E-05
86.5,0.982576924,5.41932E-05
87,0.982659178,5.50694E-05
87.5,0.982505398,5.65714E-05
88,0.982508974,5.25034E-05
88.5,0.982512551,5.60707E-05
89,0.98255189,5.45061E-05
89.5,0.982476788,5.31918E-05
90,0.982573347,5.38803E-05
90.5,0.982594805,5.36925E-05
91,0.982491093,5.24408E-05
91.5,0.982584076,5.18775E-05
92,0.982555466,5.31918E-05
92.5,0.982505398,5.11265E-05
93,0.982598381,5.15646E-05
93.5,0.982605534,5.12517E-05
94,0.982501822,5.02503E-05
94.5,0.982537584,5.0751E-05
95,0.982548313,5.05007E-05
95.5,0.982534008,4.88735E-05
96,0.982408838,4.93742E-05
96.5,0.982566195,4.95619E-05
97,0.982623415,5.05007E-05
97.5,0.982569771,4.88735E-05
98,0.982462483,5.02503E-05
98.5,0.982476788,4.91864E-05
99,0.982544737,4.74966E-05
99.5,0.98248394,4.79347E-05
100,0.982716398,5.06884E-05
100.5,0.995798427,5.20027E-05
101,1.0661939,8.29196E-05
101.5,1.117495621,9.40598E-05
102,1.16774234,9.51237E-05
102.5,1.217738719,9.49359E-05
103,1.266501282,0.00010157
103.5,1.314519978,0.000119469
104,1.36298571,0.000140873
104.5,1.411462171,0.000142939
105,1.459427223,0.000142939
105.5,1.506977427,0.000144691
106,1.553247324,0.000152952
106.5,1.59936344,0.000179613
107,1.645096895,0.000190691
107.5,1.691034197,0.000191254
108,1.736531617,0.000189815
108.5,1.781263714,0.000190941
109,1.826725371,0.000202832
109.5,1.872119079,0.000230432
110,1.917680873,0.000237317
110.5,1.96273841,0.000238318
111,2.006826777,0.000238756
111.5,2.050986669,0.000239194
112,2.095529222,0.000256092
112.5,2.140057471,0.00027831
113,2.184982686,0.000286571
113.5,2.228284271,0.000285194
114,2.271328364,0.000287134
114.5,2.314773,0.000287635
115,2.358310619,0.000296835
115.5,2.402420443,0.0003265
116,2.445435926,0.000334636
116.5,2.488029408,0.000333322
117,2.530969788,0.000333572
117.5,2.574425153,0.000335262
118,2.617612297,0.000341395
118.5,2.66034883,0.000370435
119,2.701808632,0.000381762
119.5,2.74474186,0.000381011
120,2.788125699,0.00038001
120.5,2.832314201,0.000382201
121,2.874417733,0.000386832
121.5,2.915916873,0.000411365
122,2.958413795,0.000427324
122.5,3.001307684,0.000429139
123,3.044544896,0.000430266
123.5,3.086834394,0.000429765
124,3.127464499,0.000433145
124.5,3.169564454,0.00044829
125,3.211964817,0.000469506
125.5,3.25447962,0.000478081
126,3.295878625,0.000476891
126.5,3.336401441,0.000477142
127,3.377761106,0.000478081
127.5,3.42027591,0.000487906
128,3.462783561,0.000512627
128.5,3.504701126,0.000525395
129,3.544955721,0.00052527
129.5,3.586043589,0.000524957
130,3.627270933,0.000525082
130.5,3.669077633,0.000529275
131,3.7103014,0.000546423
131.5,3.749973062,0.000565449
132,3.790313488,0.000573022
132.5,3.831068762,0.000572897
133,3.872210274,0.000573084
133.5,3.912561429,0.00057321
134,3.952819601,0.000581596
134.5,3.99294545,0.000604127
135,4.033976098,0.000619022
135.5,4.075085424,0.000620586
136,4.115322138,0.000620837
136.5,4.154843596,0.000620148
137,4.194182664,0.000622902
137.5,4.234598192,0.000638048
138,4.274770533,0.000661204
138.5,4.315404213,0.000668652
139,4.35413889,0.000669152
139.5,4.392712634,0.000668401
140,4.432212635,0.000668839
140.5,4.471962975,0.000669215
141,4.511659671,0.000688428
141.5,4.550701907,0.000711272
142,4.588928752,0.000716592
142.5,4.628750618,0.000716592
143,4.668504534,0.000716842
143.5,4.707435906,0.000716091
144,4.745569768,0.000721098
144.5,4.783267324,0.000743065
145,4.821758814,0.000762967
145.5,4.860665152,0.000764532
146,4.898748946,0.000763843
146.5,4.936378553,0.000763092
147,4.97332509,0.000763968
147.5,5.010550577,0.000773419
148,5.048294625,0.00079138
148.5,5.086728894,0.000809593
149,5.123875703,0.000811595
149.5,5.160378782,0.000812159
150,5.197500557,0.000811721
150.5,5.23470101,0.000813223
151,5.271847819,0.000816915
151.5,5.308136321,0.000845203
152,5.34364877,0.000860099
152.5,5.378996711,0.000860474
153,5.415263755,0.000861288
153.5,5.450897798,0.000861726
154,5.48595606,0.000860725
154.5,5.520434965,0.000865356
155,5.554484716,0.000885633
155.5,5.589864843,0.000904471
156,5.624783631,0.000908727
156.5,5.658840535,0.000909979
157,5.692861676,0.000907914
157.5,5.726339223,0.000908352
158,5.759866837,0.000912169
158.5,5.793237096,0.000933949
159,5.825935014,0.000950346
159.5,5.858078608,0.00095529
160,5.889356744,0.000957043
160.5,5.921235694,0.000956792
161,5.952917949,0.000954602
161.5,5.983616727,0.000958732
162,6.01361813,0.000979573
162.5,6.043304821,0.000996033
163,6.073742531,0.001004107
163.5,6.103286171,0.00100492
164,6.132922794,0.001003919
164.5,6.161944298,0.001004795
165,6.189145475,0.001009238
165.5,6.21685806,0.001033459
166,6.244120034,0.001050732
166.5,6.270613108,0.001051296
167,6.296040451,0.001051296
167.5,6.320180334,0.001052798
168,6.344577709,0.001054675
168.5,6.367151181,0.00107464
169,6.390579384,0.001093978
169.5,6.412441177,0.001100049
170,6.432994052,0.001099236
170.5,6.452917502,0.001098735
171,6.472912477,0.001103742
171.5,6.492045569,0.00112308
172,6.509479929,0.001145235
172.5,6.525186946,0.0011468
173,6.540153673,0.001145799
173.5,6.555202654,0.001146737
174,6.569543533,0.00115068
174.5,6.582550459,0.001178405
175,6.59382289,0.001193175
175.5,6.604898626,0.001193739
176,6.616120989,0.001195053
176.5,6.627007182,0.001194365
177,6.637017187,0.001205505
177.5,6.645492968,0.001234982
178,6.654362139,0.001242993
178.5,6.663485227,0.001243369
179,6.672676264,0.001243243
179.5,6.680529772,0.001245246
180,6.687478482,0.001276664
180.5,6.694487989,0.001288492
181,6.702749193,0.001289431
181.5,6.711711348,0.001290996
182,6.719203652,0.001291309
182.5,6.727092923,0.001318032
183,6.73389143,0.001337434
183.5,6.742317143,0.001338122
184,6.751651231,0.001338998
184.5,6.759454671,0.001341689
185,6.767140094,0.001367474
185.5,6.774192516,0.001385624
186,6.780315106,0.001385499
186.5,6.757226649,0.001385812
187,6.734048786,0.001385874
187.5,6.717290343,0.001385874
188,6.704451502,0.00138456
188.5,6.693790614,0.001385311
189,6.685282647,0.001386375
189.5,6.677715241,0.001385812
190,6.671195684,0.001386813
190.5,6.665305553,0.001387314
191,6.660016236,0.001385248
191.5,6.655052361,0.001386375
192,6.650964674,0.001385248
192.5,6.646508631,0.001384873
193,6.642964539,0.001385999
193.5,6.63926309,0.001385687
194,6.635847744,0.001385937
194.5,6.632661279,0.001385436
195,6.629800256,0.001384059
195.5,6.626899894,0.001386813
196,6.624278481,0.001385248
196.5,6.62164634,0.001385248
197,6.619300301,0.001384497
197.5,6.616986449,0.001385937
198,6.614618952,0.001385812
198.5,6.612244303,0.001385999
199,6.610105688,0.001385624
199.5,6.608246023,0.001385561
200,6.606465036,0.001385874
200.5,6.604129726,0.001384497
201,6.602702791,0.001385248
201.5,6.60080021,0.001386438
202,6.598704511,0.001385186
202.5,6.597595864,0.001386438
203,6.595693284,0.001384247
203.5,6.594134026,0.001384936
204,6.592821532,0.001386125
204.5,6.590822392,0.001385749
205,6.590035611,0.001386625
205.5,6.587875538,0.001385561
206,6.587213927,0.001385374
206.5,6.585136109,0.001385874
207,6.584528141,0.001384497
207.5,6.582650595,0.001384873
208,6.581921034,0.001385874
208.5,6.580064945,0.001386876
209,6.579203062,0.001384184
209.5,6.577990703,0.001385186
210,6.576560192,0.001385248
210.5,6.575948648,0.001385561
211,6.574217729,0.001385624
211.5,6.573734932,0.00138625
212,6.572111301,0.001385499
212.5,6.57107418,0.0013865
213,6.570702247,0.001385749
213.5,6.568860463,0.001385687
214,6.568288259,0.001385624
214.5,6.567276172,0.001386375
215,6.565706185,0.001385812
215.5,6.565398625,0.001385561
216,6.564354352,0.0013865
216.5,6.562888078,0.001386187
217,6.562669925,0.00138675
217.5,6.561550549,0.001386375
218,6.560162953,0.001384247
218.5,6.560052089,0.001386312
219,6.558829001,0.001385311
219.5,6.557555846,0.001384623
220,6.557298354,0.001386938
220.5,6.556457928,0.001387063
221,6.555002383,0.001386187
221.5,6.554637602,0.001385061
222,6.554419449,0.001385937
222.5,6.552942446,0.001384873
223,6.552019766,0.001384435
223.5,6.551808766,0.001386125
224,6.550782374,0.001385061
224.5,6.549448422,0.001384873
225,6.549187353,0.001385874
225.5,6.548840454,0.001385561
226,6.547649553,0.001385874
226.5,6.546619585,0.001386187
227,6.546401432,0.001385436
227.5,6.546008041,0.001385812
228,6.544763496,0.00138481
228.5,6.543690613,0.001385812
229,6.543676307,0.001385999
229.5,6.54334729,0.001384748
230,6.542066982,0.001384748
230.5,6.541047742,0.001385624
231,6.54091542,0.001385999
231.5,6.540822437,0.001385999
232,6.539574316,0.001385248
232.5,6.538683822,0.001386876
233,6.538183143,0.001385624
233.5,6.538168838,0.001385436
234,6.537535837,0.001386938
234.5,6.536155393,0.001384748
235,6.535508086,0.001386375
235.5,6.535465171,0.001384247
236,6.535193374,0.001386563
236.5,6.534184863,0.001387001
237,6.533126285,0.00138481
237.5,6.532818725,0.001385812
238,6.532761504,0.001385687
238.5,6.532325198,0.001386312
239,6.531159331,0.001385749
239.5,6.530161549,0.001385499
240,6.530072142,0.001385311
240.5,6.530018498,0.001385937
241,6.529517819,0.001386312
241.5,6.528355529,0.001385436
242,6.527475764,0.001385624
242.5,6.527375628,0.001384936
243,6.527200391,0.001386438
243.5,6.526824881,0.001385874
244,6.526088168,0.001387376
244.5,6.524800707,0.001385561
245,6.524664809,0.001384372
245.5,6.524468113,0.001384748
246,6.524296452,0.001387063
246.5,6.523545433,0.001386062
247,6.522429634,0.00138625
247.5,6.521928955,0.001385749
248,6.521793057,0.001385123
248.5,6.521814515,0.001385311
249,6.521471192,0.001385499
249.5,6.520566393,0.001385311
250,6.51949351,0.001384435
250.5,6.519182373,0.001386312
251,6.519096543,0.001385061
251.5,6.519010712,0.001385123
252,6.518492151,0.001385311
252.5,6.517651726,0.001385937
253,6.516675402,0.001385499
253.5,6.516339232,0.001385186
254,6.51632135,0.001385061
254.5,6.516324926,0.001385749
255,6.515842129,0.0013865
255.5,6.515105415,0.001384936
256,6.514164854,0.00138456
256.5,6.51362126,0.001384435
257,6.513642717,0.001385624
257.5,6.513528276,0.001385749
258,6.513292242,0.001383872
258.5,6.512591291,0.001383934
259,6.511629272,0.001384936
259.5,6.511032034,0.001385186
260,6.511021305,0.001386062
260.5,6.510846067,0.001385499
261,6.510731626,0.001383809
261.5,6.510370422,0.001385374
262,6.509640861,0.00138456
262.5,6.508653808,0.00138456
263,6.508310485,0.001384184
263.5,6.508138824,0.001384435
264,6.508081604,0.001383872
264.5,6.507952857,0.001386062
265,6.507509399,0.001383559
265.5,6.50667255,0.001384873
266,6.506046701,0.001385999
266.5,6.505517412,0.001383496
267,6.50549953,0.001383433
267.5,6.505388666,0.001384936
268,6.505302835,0.001384122
268.5,6.504626918,0.001383433
269,6.504229951,0.001385812
269.5,6.503371644,0.001383684
270,6.502978254,0.001385937
270.5,6.502738643,0.001385624
271,6.502720761,0.001384184
271.5,6.502706456,0.001384936
272,6.502441812,0.001384372
272.5,6.501773048,0.001383746
273,6.501190114,0.001383433
273.5,6.500485587,0.001383121
274,6.500138688,0.00138456
274.5,6.499984908,0.00138287
275,6.499974179,0.001384435
275.5,6.499895501,0.001384372
276,6.499623704,0.001383621
276.5,6.498861957,0.001382057
277,6.498125243,0.001383684
277.5,6.497535157,0.00138262
278,6.497392106,0.001382995
278.5,6.497277665,0.001383246
279,6.497288394,0.001383433
279.5,6.497220445,0.001380742
280,6.497041631,0.001383308
280.5,6.496691155,0.001383872
281,6.495775628,0.00138287
281.5,6.494892287,0.001380116
282,6.494709897,0.001383496
282.5,6.494581151,0.001384122
283,6.494481015,0.001381619
283.5,6.494566846,0.001380367
284,6.494352269,0.001379491
284.5,6.49415915,0.001378614
285,6.493565487,0.001381744
285.5,6.492864537,0.001381493
286,6.492292332,0.00138093
286.5,6.492009806,0.00138262
287,6.491770195,0.001384122
287.5,6.491809535,0.001377175
288,6.491816687,0.001378927
288.5,6.491541314,0.001378114
289,6.49139111,0.001378614
289.5,6.490840363,0.001378239
290,6.490089344,0.001379741
290.5,6.489713835,0.001379553
291,6.489288258,0.001381055
291.5,6.489152359,0.001377676
292,6.489037918,0.00137511
292.5,6.489098715,0.001375485
293,6.489030766,0.001376799
293.5,6.488876986,0.001377175
294,6.488279747,0.001376299
294.5,6.487646746,0.001374484
295,6.486945795,0.001373545
295.5,6.486552405,0.001374171
296,6.486466574,0.001372731
296.5,6.486305641,0.001374672
297,6.486334252,0.001372356
297.5,6.486294912,0.001372106
298,6.486073183,0.001376424
298.5,6.485837149,0.001371229
299,6.485343622,0.00137342
299.5,6.484521078,0.001376111
300,6.483859467,0.001373858
300.5,6.483805822,0.001370165
301,6.483587669,0.001371355
301.5,6.483630585,0.001373044
302,6.483662771,0.001370791
302.5,6.483537601,0.001368851
303,6.483251499,0.001371668
303.5,6.482943939,0.001369853
304,6.482464718,0.001367662
304.5,6.481681513,0.001367474
305,6.481216596,0.001366848
305.5,6.481048511,0.0013681
306,6.480951952,0.001366911
306.5,6.48093407,0.001367474
307,6.480841087,0.001366661
307.5,6.480862545,0.001367474
308,6.48072307,0.001362342
308.5,6.48047273,0.001365785
309,6.480140136,0.001360778
309.5,6.479349779,0.001363657
310,6.479020761,0.001364721
310.5,6.478405641,0.001361591
311,6.47826259,0.001363093
311.5,6.478130268,0.001362843
312,6.478144573,0.001362468
312.5,6.478191064,0.001361278
313,6.478105234,0.001361967
313.5,6.478040861,0.001362968
314,6.477690385,0.001362405
314.5,6.477450775,0.001364908
315,6.476782011,0.001359776
315.5,6.476231264,0.001358587
316,6.475784229,0.001359714
316.5,6.475558923,0.001358087
317,6.475394414,0.001361028
317.5,6.475315736,0.001360152
318,6.475444482,0.001358024
318.5,6.475401567,0.001363907
319,6.47528355,0.001359463
319.5,6.475072549,0.001358149
320,6.47475426,0.0013584
320.5,6.474518226,0.001357336
321,6.473842309,0.001354269
321.5,6.473137782,0.001353831
322,6.472901748,0.001356146
322.5,6.472805188,0.001353956
323,6.47272651,0.001355208
323.5,6.472719358,0.001357023
324,6.472665714,0.001353893
324.5,6.472583459,0.001356585
325,6.472469018,0.001356021
325.5,6.472329543,0.001357774
326,6.471989797,0.00135358
326.5,6.471331762,0.001357273
327,6.471024202,0.001352391
327.5,6.470434116,0.001354895
328,6.470244573,0.001350827
328.5,6.470126556,0.00135114
329,6.469922708,0.001349512
329.5,6.469919131,0.001350013
330,6.469915555,0.001349074
330.5,6.469886945,0.001352266
331,6.469829724,0.001347385
331.5,6.469700978,0.001347572
332,6.469300435,0.001351202
332.5,6.468806909,0.001347948
333,6.468202518,0.001346696
333.5,6.467837737,0.001349888
334,6.467447923,0.001348574
334.5,6.467394278,0.001346759
335,6.467265532,0.001345757
335.5,6.467186854,0.001345444
336,6.467197583,0.001344255
336.5,6.467251227,0.001343629
337,6.467154668,0.001347197
337.5,6.467004464,0.001346884
338,6.466632531,0.001345945
338.5,6.466493056,0.001346759
339,6.46590297,0.001346696
339.5,6.465298579,0.001344631
340,6.464847968,0.001345194
340.5,6.464733527,0.001343191
341,6.46470134,0.001343629
341.5,6.464501069,0.001347197
342,6.464504645,0.001343942
342.5,6.464479611,0.001345444
343,6.464429543,0.001343129
343.5,6.464540408,0.001343629
344,6.464250729,0.001342941
344.5,6.464082644,0.001346321
345,6.463421033,0.00134219
345.5,6.463263676,0.001340688
346,6.462702201,0.001344506
346.5,6.462548421,0.001341877
347,6.46202986,0.00134219
347.5,6.461918995,0.001342566
348,6.461872504,0.001343942
348.5,6.461793826,0.001347885
349,6.461772368,0.001340813
349.5,6.461783097,0.001343066
350,6.461718724,0.001344005
350.5,6.461765216,0.001340438
351,6.461518452,0.001345444
351.5,6.461196587,0.001342503
352,6.46082823,0.001340938
352.5,6.460334704,0.001342315
353,6.459755347,0.001341439
353.5,6.459454939,0.001344443
354,6.459322617,0.001342315
354.5,6.459193871,0.001338372
355,6.458990023,0.001339186
355.5,6.458943531,0.00134194
356,6.459004328,0.001339186
356.5,6.458904192,0.001341314
357,6.458911345,0.00134
357.5,6.458922074,0.001342127
358,6.458753989,0.001339123
358.5,6.458614514,0.001339812
359,6.458217547,0.001340187
359.5,6.457681105,0.001339499
360,6.457323477,0.001338059
360.5,6.457019493,0.00134
361,6.456669018,0.001338372
361.5,6.456479475,0.001340312
362,6.456404373,0.001340751
362.5,6.456343577,0.001340125
363,6.456314966,0.001342503
363.5,6.456264899,0.001339499
364,6.456200526,0.001338685
364.5,6.456247017,0.001340813
365,6.456129,0.001339687
365.5,6.455921576,0.001339499
366,6.45561044,0.001338748
366.5,6.455370829,0.001338059
367,6.455102608,0.001338685
367.5,6.454623387,0.00133831
368,6.454165623,0.001338435
368.5,6.453997538,0.00133662
369,6.446068927,0.001337434
369.5,6.501697946,0.001359776
370,6.559440545,0.001384623
370.5,6.60649007,0.001385374
371,6.646694597,0.001385937
371.5,6.683741271,0.001390005
372,6.715942086,0.001422549
372.5,6.742757025,0.001433314
373,6.763245527,0.001433877
373.5,6.780082648,0.001434002
374,6.794763273,0.001466984
374.5,6.80701918,0.001481504
375,6.816145844,0.001482192
375.5,6.823884912,0.001486573
376,6.830193468,0.001521558
376.5,6.83665938,0.001529507
377,6.842485138,0.001527504
377.5,6.847474047,0.001543964
378,6.851493785,0.001573879
378.5,6.855971286,0.001576758
379,6.860688398,0.001578323
379.5,6.865412662,0.001606799
380,6.869822214,0.001625512
380.5,6.873595188,0.001625074
381,6.877654265,0.001626513
381.5,6.882425021,0.001662812
382,6.887034845,0.001673389
382.5,6.891558837,0.001672075
383,6.895961237,0.00168309
383.5,6.899222803,0.001703805
384,6.902981472,0.001706997
384.5,6.906521988,0.001720578
385,6.911020947,0.001731969
385.5,6.914400531,0.001748741
386,6.917290164,0.001766516
386.5,6.921213342,0.001767141
387,6.924592926,0.001777218
387.5,6.927886678,0.001806758
388,6.93134494,0.001816959
388.5,6.934534981,0.001815895
389,6.937717869,0.001825658
389.5,6.941308453,0.001859642
390,6.945288852,0.001864523
